id,title,link,pubDate,resume,creator,source
155,Bitcoin Whales Load Up With $1.5 Billion Worth Of BTC Amidst Price Uncertainty,https://www.newsbtc.com/bitcoin-news/whales-amass-1-5-b-of-btc/,"Sat, 02 Sep 2023 13:30:43 +0000","Bitcoin whales, entities holding a substantial portion of the Bitcoin supply, have ignited speculation within the cryptocurrency realm by amassing more than a billion worth of BTC in mere two weeks. Data from crypto analytics firm IntoTheBlock reveals a significant uptick in the accumulation of Bitcoin by addresses holding at least 0.1% of the total BTC supply, valued at over $500 million each. These entities collectively added a staggering $1.5 billion to their holdings during the final two weeks of August.  This surge in accumulation coincides with the excitement surrounding the potential introduction of a spot Bitcoin ETF in the United States. This substantial accumulation of Bitcoin by crypto whales serves as a clear testament to their growing confidence and heightened interest in the cryptocurrency, irrespective of recent price oscillations and regulatory ambiguities.  Addresses holding 0.1% of the Bitcoin supply or more have added over $1.5B in BTC holdings in the last two weeks. pic.twitter.com/MrHKLXO9qx — IntoTheBlock (@intotheblock) September 1, 2023 Bitcoin Price Upsurge Amidst ETF Speculation The chronology of this accumulation is particularly captivating. While Bitcoin’s price experienced a dip, it experienced a transitory resurgence subsequent to a pivotal court ruling linked to Grayscale’s pursuit of a spot Bitcoin ETF. The verdict translated into a price upswing exceeding $2,000, propelling the alpha coin to a two-week zenith, slightly exceeding the $28,000 threshold. Related Reading: Polygon (MATIC) Drops Below Crucial Level – Will Sellers Exit? Nevertheless, just as the cryptocurrency community was poised for jubilation and pinned hopes on the ETF’s ratification, the US Securities and Exchange Commission (SEC) introduced an unexpected regulatory twist. A dopting a circumspect stance, the regulatory authority deferred its verdict on all active Bitcoin ETF applications. Consequently, Bitcoin relinquished all its gains stemming from the brief rally triggered by the Grayscale ruling, regressing below the $26,000 mark. BTCUSD trading at $25,382 on the weekend chart: TradingView.com Institutional Optimism Amidst Ambiguity The current BTC price is $25,808.30 according to CoinGecko, with a 24-hour decline of 0.8% and a seven-day loss of 0.9%. Despite the recent tumultuous price fluctuations and the ambiguity clouding the cryptocurrency market’s regulatory landscape, the continual accumulation of Bitcoin by crypto whales implies that institutional investors are cultivating an increasingly sanguine outlook regarding Bitcoin’s long-term prospects. Related Reading: BNB Price Forecast: Will It Break Through Resistance At $225? The prospect of a Bitcoin ETF, promising a regulated and accessible entryway for mainstream investors, persists as a game-changing possibility that could significantly reshape the crypto outlook in the United States and beyond. While the cryptocurrency community anticipates further developments and regulatory determinations, the conduct of these crypto whales functions as a tangible gauge of swelling institutional interest in Bitcoin, fortifying the belief in its enduring value and pertinence.  These crypto whales wield not only the power to sway the market but also reflect the sentiment and perspective of dominant participants within the dynamic domain of cryptocurrencies. Featured image from VOI",Yuna Rin,newsbtc
156,"Toncoin (TON) Continues To Ride Bullish Wave, Eyes To Reclaim $2 Level",https://www.newsbtc.com/toncoin-ton/toncoin-ton-continues-to-ride-bullish-wave-eyes-to-reclaim-2-level/,"Sat, 02 Sep 2023 13:30:26 +0000","Over the past 24 hours, the majority of the crypto market has been moving slowly, with the premier cryptocurrency Bitcoin falling below the $26,000 mark again. Toncoin, on the other hand, continues to defy the current market conditions, registering a significant price climb in the past day. The TON price experienced a substantial increase on the first day of September, which is consistent with its overall trend in August. TON Soars By 11% In A Single Day Toncoin currently leads the altcoin market as one of the top gainers following an 11% price rise in the past 24 hours. In the same period, altcoins such as ETH and XRP appear to have succumbed to general market sentiment, suffering a 1% and 2% price dip, respectively. Interestingly, TON’s latest price spike only underscores its impressive performance in the past few weeks. According to data from CoinGecko, the value of the cryptocurrency has swelled by more than 35% in the last seven days. Related Reading: Toncoin (TON) Investors Load Up Their Bags As Majority Of Cryptos Nosedive A broader look at Toncoin’s price history shows that the token has been on an ascent since the start of August. After plunging to a year-to-date (YTD) low of $1.18 on the 4th of August, TON is currently on a nearly 64% price rally. The TON token is currently valued at $1.93, according to CoinGecko data. If this bullish momentum and the buying pressure continue to build, investors could see Toncoin return to the $2 mark.  However, technical indicators do not seem to be in favor of the bullish momentum continuing. The daily Relative Strength Index (RSI), an indicator that tracks the balance between the buying and selling pressure of a token, is currently in the oversold region. The daily RSI in the oversold zone can be an indication of a potential trend reversal. In this situation, this means that investors could see Toncoin reverse all its gains and embark on a downward trend. Can Toncoin Break Into The Top 10 Crypto Ranking? This recent positive performance has catapulted Toncoin onto the verge of becoming one of the top 101 largest cryptocurrencies by market cap. According to CoinGecko data, TON is the 12th-largest cryptocurrency with a market cap of roughly $6.64 billion. This puts it ahead of Polkadot, Polygon, and Litecoin, who occupy the 13th, 14th, and 15th positions, respectively. If TON continues its current price rally in this existing market condition, breaking into the top 10 ranking might be a possibility. Related Reading: Polygon (MATIC) Drops Below Crucial Level – Will Sellers Exit? Interestingly, a significant 92% increase in the token’s daily trading volume adds further optimism to this scenario. An increase in trading volume can be a signal that investors are still dabbling into an asset. With this, it would only be short-sighted to rule out more gains for the altcoin in the coming weeks. TON's daily Relative Strength Index in the oversold zone | Source: TONUSDT chart on TradingView Featured image from iStock, chart from TradingView",Opeyemi Sule,newsbtc
157,Shiba Inu Price Faces Potential Loss As Bearish Pattern Emerges,https://www.newsbtc.com/news/shiba-inu-price-faces-potential-12-loss-as-bearish-pattern-emerges/,"Sat, 02 Sep 2023 12:30:00 +0000","Shiba Inu (SHIB) has recently found itself in a downward spiral. Over the past few days, the coin has been experiencing a steady decline, causing concern among its enthusiastic community of holders. The latest development indicates a potentially worrisome trend as sellers breach the lower support trendline of a bearish pennant pattern, hinting at further price drops on the horizon. The bearish pennant pattern is a technical analysis chart pattern commonly used in cryptocurrency markets. It is characterized by a consolidation phase after a sharp price decline, resembling a small symmetrical triangle that slopes downwards. This pattern typically suggests that the selling pressure remains strong, and the asset may continue to experience losses. As of the latest data from CoinGecko, SHIB is currently trading at $0.00000786, marking a 1.3% decline in the past 24 hours and a 3.2% slump over the past week. These numbers reflect the ongoing bearish sentiment in the market. Source: TradingView Shiba Inu Market Sentiment And Volatility One notable aspect of SHIB’s recent price movement is the low trading volume in the market. Low volumes often indicate a lack of conviction among traders, which can result in subdued price action.  Related Reading: Polygon (MATIC) Drops Below Crucial Level – Will Sellers Exit? While this may suggest that the downward momentum is not particularly strong, it also leaves SHIB vulnerable to sharp price swings should a significant volume of trades occur. Traders are closely watching for signs of increased activity that could either exacerbate the decline or potentially reverse the trend. SHIB market cap currently at $4.6 billion on the weekly chart: TradingView.com Shibarium: Glimmer Of Hope Amid the uncertainty surrounding SHIB’s price, there is a ray of hope for the Shiba Inu community. The successful relaunch of Shibarium, Shiba Inu’s Layer 2 scaling solution, has garnered attention. Shibarium aims to address some of the challenges facing the Shiba Inu ecosystem by reducing transaction costs and increasing transaction speed.  Related Reading: BNB Price Forecast: Will It Break Through Resistance At $225? These improvements could make SHIB more attractive to users and potentially drive up demand for the cryptocurrency. While this development offers a counterbalance to the bearish technical indicators, its ability to reverse the trend remains uncertain. SHIB finds itself at a challenging position as it contends with the bearish pennant pattern and declining prices. The cryptocurrency market’s low volumes reflect a cautious sentiment among traders, leaving SHIB susceptible to potential price swings. The relaunch of Shibarium brings a glimmer of hope for SHIB’s future, as it seeks to enhance its utility and appeal. However, investors and traders are advised to exercise caution and closely monitor the market dynamics as SHIB navigates these challenging waters. (This site’s content should not be construed as investment advice. Investing involves risk. When you invest, your capital is subject to risk). Featured image from Sunny Skyz",Christian Encila,newsbtc
158,Polygon (MATIC) Drops Below Crucial Level – Will Sellers Exit?,https://www.newsbtc.com/news/polygon-matic-drops-below-crucial-level-will-sellers-exit/,"Sat, 02 Sep 2023 10:45:14 +0000","Polygon (MATIC), one of the prominent players in the cryptocurrency market, has faced a turbulent period as it lost its grip on the $0.60 mark, leaving investors and traders on edge.  As of the latest data available, MATIC was trading at $0.540840 on CoinGecko, reflecting a 1.4% slip in the past 24 hours and a 0.6% decline over the last seven days. This dip in price has sparked discussions about the coin’s immediate future. The cryptocurrency market has been characterized by considerable uncertainty, with Bitcoin (BTC), the bellwether of the industry, also grappling with price fluctuations. Analysts suggest that BTC might enter a narrow consolidation phase before establishing a clear direction in the coming week.  Given this backdrop, MATIC could follow suit by consolidating above the critical support level of $0.50 before attempting an upward move toward the 50-EMA (Exponential Moving Average) at either $0.60 or $0.65. Related Reading: BNB Price Forecast: Will It Break Through Resistance At $225? MATIC seven-day price action. Source: Coingecko Polygon Key Chart Indicators Raise Concerns Technical indicators have painted a cautious picture for MATIC. The Relative Strength Index (RSI) remains in the lower range, signifying bearish momentum, while the Chaikin Money Flow (CMF) has struggled to breach the zero level, indicating limited capital inflows and heightened selling pressure. Additionally, the On-Balance Volume (OBV) has slightly dipped, further suggesting a waning demand for MATIC in the current market conditions. In the midst of this market turbulence, Polygon has made an intriguing proposition. In July, the project unveiled plans for a token upgrade aimed at enhancing the capabilities of MATIC holders within the Polygon ecosystem.  MATIC market cap currently at $5.6 billion. Chart: TradingView.com Polygon’s Ambitious Proposal The proposal seeks to enable MATIC holders to validate transactions on multiple blockchain networks, potentially increasing their utility and influence. However, it’s important to note that this proposal is currently pending approval from the Polygon community. If this proposal receives the green light, it would mark a significant shift for Polygon, as the coin would transition from MATIC to POL. Such a transition could have far-reaching implications for both the Polygon network and its community of users, potentially influencing MATIC’s price dynamics in the long run. Related Reading: The ApeCoin Quandary: Why Additional Losses Could Persist Polygon finds itself at a critical juncture amid the recent market turbulence. While the short-term outlook remains uncertain due to negative chart indicators and wavering demand, the potential token upgrade proposal from Polygon offers a glimmer of hope for MATIC holders.  As traders and investors closely monitor market developments, the path forward for MATIC will largely depend on broader market trends and the community’s decision regarding the proposed upgrade. (This site’s content should not be construed as investment advice. Investing involves risk. When you invest, your capital is subject to risk). Featured image from Bizz Buzz",Christian Encila,newsbtc
159,Shiba Inu Marketing Lead Sends Important Message To SHIB Holders,https://www.newsbtc.com/news/shiba-inu-marketing-lead-sends-important-message-to-shib-holders/,"Sat, 02 Sep 2023 08:51:17 +0000","Shiba Inu (SHIB) is expected to play a significant role in the success of the layer-2 network Shibarium and the proposed decentralized Shiba Inu State. With this in mind, Shiba Inu’s marketing lead, Lucie, shared a quote from the recently published ShibPaper highlighting the token’s importance in the ecosystem and the roles holders will play. Related Reading: On-chain Sleuth Potentially Unveils Shiba Inu Founder With Shocking Affiliates SHIB Remains The Core In a tweet, Lucie shared the second chapter of the whitepaper, where SHIB is mentioned as the “core” of the ecosystem. The document also labels the token as “one of the greatest currencies in the history of mankind.” To emphasize the importance of SHIB in the ecosystem, The ShibPaper states that the token would take a “new, yet critical role” in the governance of the Shiba Inu State. The token will be the community’s voice in many decisions. The ShibPaper, in chapter one, revealed that SHIB would be one of the governance tokens for the SHIB Inu State. In chapter two, it went further to give an insight into how governance of the decentralized state will look like. According to the document, every Shibizen (citizen of the Shiba Inu State) would be allowed to vote on important decisions as long as they hold “One SHIB.” @LucieSHIB serious question: don’t you think allowing holders of just 1 Shib to vote is enabling malicious actors? They can distribute small amounts of Shib into many wallets, then vote in a way that is not the best for the ecosystem. Any thoughts from #SHIBARMY and @Shibtoken? https://t.co/SvMDEKmJEg — Mike S (@crypto_is_great) August 31, 2023 However, following Lucie’s tweet, a user quickly pointed out a downside of this move as he questioned whether or not this move could enable “malicious actors” who would simply distribute 1 SHIB across many wallets and then vote against proposals that may benefit the ecosystem.  Shiba Inu’s Growth SHIB has tremendously grown since it launched in 2020, becoming one of the largest cryptocurrencies by market cap (currently 16th at the time of writing). As part of plans to continue to bolster the token, the team plans to maintain its deflationary nature as several SHIB tokens are set to be burned in a move that will decrease its supply.  According to data from Shibburn, SHIB currently has a total supply of 589 trillion SHIB, with 410 trillion SHIB already burned from its initial supply of 999 trillion SHIB. SHIB market cap currently at $4.6 billion. Chart: TradingView.com This move is expected to increase SHIB’s value as a reduced circulation supply creates an increased scarcity, thereby making the token more valuable. However, the team is cautious about promising the community that SHIB’s price is bound to increase significantly in the future.  Related Reading: Grayscale Victory Sends Bitcoin Open Interest Surging After Hitting One-Year Lows Meanwhile, Shibarium’s success is also projected to help boost SHIB’s value, considering that increased trading activity on the layer-2 network invariably means more utility for the token. Wallets on Shibarium crossed over 100,000 just a day after it relaunched. Wallets on the network have surged massively since then, as there are over 1 million wallets created on the network, according to data from Shibarium Explorer.  Featured image from SimpleTexting",Scott Matherson,newsbtc
160,On-chain Sleuth Potentially Unveils Shiba Inu Founder With Shocking Affiliates,https://www.newsbtc.com/shiba-inu/shiba-inu-founder/,"Fri, 01 Sep 2023 23:00:45 +0000","The identity of the mind behind the Shiba Inu meme coin has been a long-standing crypto mystery since it first debuted in 2020. So far, there has been no concrete proof as to who it might be with guesses ranging from FTX’s Sam Bankman-Fried to Ethereum’s Vitalik Buterin. Despite having little success so far, crypto investigators have not given up as a new theory has popped up as to the creator behind Shiba Inu. Has The Shiba Inu Founder Been Identified? An X (formerly Twitter) user identified by the username @boringsleuth first drew attention on Thursday, August 1, after they posted an elaborate theory as to who the founder of Shiba Inu is. In this initial thread, the researcher put forward that there was not one but two founders behind the coin. Related Reading: Grayscale Victory Sends Bitcoin Open Interest Surging After Hitting One-Year Lows Two names were put forward – Ryo Suzuki & Tsuyoshi Maruyama, a combination of which the researcher believes was used to make the widely known Ryoshi moniker. Interestingly, both of the people named were identified to be advisors of B2C2, a liquidity provider. This is where the investigator makes the connection to Shiba Inu. According to Boring Sleugh, the liquidity provider’s wallet once held 25% of the total SHIB supply in its wallet. Furthermore, they linked the two alleged founders together by pointing out that Tsuyoshi Maruyama had immediately taken over as an advisor for B2C2 when Ryo Suzuki stepped down from the role in 2021. A follow-up post from the researcher digs deeper into Suzuki’s past, tying him to an internship at Microsoft when SHIB was launched, as well as a visit to the infamous MIT media lab in 2019. Wait until I show you that Ryo Suzuki, who I believe is the real founder of $SHIB, visited MIT’s media lab in 2019. Yeah, this same media lab that links Gensler, Epstein & Gates? What if I told you the Canadian Ryo Suzuki was also an intern for Microsoft when Shiba Inu launched? https://t.co/H2PM5FNkLb pic.twitter.com/nwkUz27Cu4 — TruthLabs 🫡 (@BoringSleuth) August 31, 2023 Unveiling Shocking Connections After debuting the theories on Thursday, it seemed Boring Sleuth was not done as a continuation was posted on Friday morning. This time around, the on-chain sleuth presents theories that connect the alleged founder to prominent personalities and organizations. The first of these was a connection to Ethereum founder Vitalik Buterin through a series of transactions that connected the Shiba Inu deployer wallet to Buterin’s wallet. The wallet in question identified as “0x2135” was not only connected to Buterin, however. The sleuth lists out notable people and organizations the wallet has also been connected to in the tweet below: Wallet 0x2135 is connected to: Multiple Vitalik Buterin wallets CCP official Roger Lim (HATES the West) Satofishi, Binance Dev/Stakefish Founder Wanxiang (Gensler gave them special Broker Dealer license) LingLing & Multichain Dev (Crypto Cartel) Maker DAO Multisig & More 7/8 pic.twitter.com/eib84d1CQN — TruthLabs 🫡 (@BoringSleuth) September 1, 2023 The infamous gifting of half the total SHIB supply to Vitalik Buterin is also called into question, which one X user refers to as “a massive money laundering scheme.” In response, Boring Sleuth says that the ‘gift’ was a 100% tax write-off for the Ethereum founder. “He captured all the value without moving price down 1 cent,” the researcher added. Related Reading: Bitcoin Cash Traders Move Into Profit, But Can The Rally Continue? Despite how convincing Boring Sleuth’s theories have been for some, there is still no confirmation of who the SHIB founder(s) are. The sleuth alludes to this as well in their most recent tweet saying “If you don’t know, the Shib founder has yet to come out.” SHIB price loses $0.000008 support again | Source: SHIBUSD on Tradingview.com Follow Best Owie on Twitter for market insights, updates, and the occasional funny tweet… Featured image from Unsplash, chart from TradingView.com",Best Owie,newsbtc
161,Former Alameda CEO’s $2.5 Million Yacht Deal Exposed In FTX Court Documents,https://bitcoinist.com/former-alameda-ceos-2-5m-yacht-deal-exposed/,"Sun, 03 Sep 2023 13:41:48 +0000","Recently submitted court filings to the U.S. Bankruptcy Court for the District of Delaware have shown a sequence of financial transactions that preceded the decline of FTX in November 2022. The aforementioned papers suggest that the majority of these transactions primarily favored individuals who hold influential positions inside the business. However, it’s essential to note […]",Yuna Rin,bitcoinist
178,Switzerland's Legacy Of Financial Freedom Makes It The Best Place For Bitcoin To Thrive ,https://bitcoinmagazine.com/culture/why-switzerland-is-the-place-for-bitcoin-to-thrive,"Tue, 29 Aug 2023 12:00:00 GMT",Switzerland values many of the core properties of Bitcoin and now the two are poised to create the future of financial sovereignty together.,Julian Liniger,bitcoinmagazine
162,Global Interest In Crypto At Near 5-Year Low,https://bitcoinist.com/global-interest-crypto-at-5-year-low/,"Sun, 03 Sep 2023 12:21:37 +0000","The global Google search traffic for the organic term “cryptocurrency” is at the lowest point in five years, reflecting a shift in user sentiment. Even though prices of top crypto assets, including Bitcoin, are way above 2018 lows at spot rates, market participants appear apprehensive as interest fizzles.  Interest In Bitcoin, Ethereum, And Cryptocurrency Falling […]",Dalmas Ngetich,bitcoinist
163,Binance CEO Bullish Prediction: DeFi To Outperform CeFi In Upcoming Market Rally,https://bitcoinist.com/binance-ceo-defi-to-outperform-cefi/,"Sun, 03 Sep 2023 10:40:05 +0000","Binance CEO Changpeng ‘CZ’ Zhao made a confident assertion last July that decentralized finance, commonly referred to as DeFi, is poised to rise above centralized finance, or CeFi, in terms of prominence and significance within the financial landscape. According to his forward-looking perspective, this transformative shift is expected to materialize over the course of the […]",Christian Encila,bitcoinist
164,August Crypto Startup Funding Hits 2-Year Low: Below $500 Million – Report,https://bitcoinist.com/crypto-startup-funding-hits-2-year-low/,"Sat, 02 Sep 2023 16:00:30 +0000","Crypto startups faced a startling setback in August as venture funding plummeted to less than $500 million, marking the lowest point in over two years, according to data from The Block Research. This decline marks the fourth consecutive month of dwindling venture funding volumes in the crypto space, reflecting a stark contrast to the exuberant […]",Christian Encila,bitcoinist
165,China’s Cryptocurrency Verdict: Legal Property Or Trouble Ahead?,https://bitcoinist.com/chinas-cryptocurrency-decision-legal-property/,"Sat, 02 Sep 2023 15:00:13 +0000","Cryptocurrency has long been a contentious subject in China, with the government imposing strict regulations and outright bans on various aspects of the industry. However, a recent report from China’s People’s Court challenges this historical stance, offering newfound recognition to virtual assets as legal property. In a significant departure from conventional policy, the report titled […]",Christian Encila,bitcoinist
166,Ripple Pushes Back Against SEC’s Appeal Request With New Court Filing,https://bitcoinist.com/ripple-pushes-back-against-secs-appeal-request/,"Sat, 02 Sep 2023 14:00:22 +0000","In its latest court filing, the legal team representing Ripple Labs – the company behind the XRP token – argued that the United States Securities and Exchange Commission (SEC) doesn’t have the grounds to request an appeal. This comes as the SEC looks to dispute Ripple’s partial victory after Judge Annalisa Torres ruled – in […]",Opeyemi Sule,bitcoinist
167,"Ripple Lawyer, Coinbase CLO Believe SEC’s Interlocutory Appeal Will Get Rejected",https://bitcoinist.com/coinbase-clo-believe-secs-interlocutory-appeal/,"Sat, 02 Sep 2023 13:01:54 +0000","The battle between the Securities and Exchange Commission (SEC) and Ripple Labs over the regulatory status of XRP took a dramatic turn last week. The latest powerplay? A Hail Mary interlocutory appeal from the authority. The agency tried appealing a past court decision allowing Ripple to use a “fair notice” defense. However, prominent lawyers vehemently […]",Kent Glory,bitcoinist
168,MakerDAO Could Utilize Solana Codebase For ‘NewChain’ Project – Details,https://bitcoinist.com/makerdao-could-utilize-solana-codebase-for-newchain/,"Sat, 02 Sep 2023 13:00:29 +0000","MakerDAO Co-founder Rune Christensen has suggested the DeFi project utilize a fork of Solana’s codebase to build its proposed “NewChain.” Back in May, the MakerDAO announced its “Endgame” network update aimed at improving the protocol’s “efficiency, resilience and participation” via the formation of a “strong governance equilibrium.”  The “NewChain” is a vital part of the […]",Semilore Faleti,bitcoinist
169,A Bitcoin Maximalist’s Ode To Ordinals,https://bitcoinmagazine.com/culture/a-bitcoin-maximalists-ode-to-ordinals,"Fri, 01 Sep 2023 17:30:00 GMT",Ordinals are a natural companion to Bitcoin by unlocking unprecedented opportunities and further demonstrating Bitcoin’s superiority over other blockchains.,L. Asher Corson,bitcoinmagazine
170,"SEC Delays BlackRock, Fidelity, And Other's Spot Bitcoin ETF Applications",https://bitcoinmagazine.com/markets/sec-delays-blackrock-fidelity-and-others-spot-bitcoin-etf-applications,"Thu, 31 Aug 2023 21:31:30 GMT","The SEC has just delayed these applications for another 45 days, bringing the next deadlines to the middle of October.",Nik Hoffman,bitcoinmagazine
171,"Chainalysis, The Theranos Of Blockchain Forensics?",https://bitcoinmagazine.com/technical/chainalysis-the-theranos-of-blockchain-forensics,"Thu, 31 Aug 2023 17:30:00 GMT",Evidence is mounting that Chainalysis’ blockchain forensics heuristics may be more of a swindle than a science.,L0la L33tz,bitcoinmagazine
172,Bitcoin Magazine Inscribes Cover of Latest Print Issue As Recursive Ordinal,https://bitcoinmagazine.com/culture/bitcoin-magazine-print-cover-recursive-ordinal-inscription,"Thu, 31 Aug 2023 14:08:59 GMT",Bitcoin Magazine has inscribed the cover of its newest print magazine to the Bitcoin blockchain leveraging state of the art recursion technology with Ordinals.,"Tommy,Namcios",bitcoinmagazine
173,Bloomberg Analysts: Spot Bitcoin ETFs Now Have 75% Odds of Launching This Year,https://bitcoinmagazine.com/markets/bloomberg-analysts-spot-bitcoin-etfs-now-have-75-odds-of-launching-this-year,"Wed, 30 Aug 2023 15:17:53 GMT",The analysts also raised their approval odds by the end of 2024 to 95%.,Nik Hoffman,bitcoinmagazine
174,"30,000 Bitcoins Sold for $0.03 Each, Now Valued at $800 Million",https://bitcoinmagazine.com/markets/30000-bitcoins-sold-for-0-03-each,"Wed, 30 Aug 2023 14:45:45 GMT","Bitcoin Magazine looks back at one of the worst sales in Bitcoin market history – when in 2010 someone market sold 30,000 BTC for only $0.03 each.",Bitcoin Magazine,bitcoinmagazine
175,‘Cryptosovereignty’: Erik Cason’s New Book Decrypts The Power Of Bitcoin,https://bitcoinmagazine.com/bitcoin-books/erik-cason-new-bitcoin-book-cryptosovereignty,"Wed, 30 Aug 2023 14:00:00 GMT",Bitcoin Magazine Books announces a new title that offers a novel framework for understanding Bitcoin through the lens of cryptography and sovereignty.,Craig Deutsch,bitcoinmagazine
176,"X (Twitter) Obtains License To Store, Transfer, And Trade Bitcoin And Crypto",https://bitcoinmagazine.com/business/x-twitter-obtains-license-to-store-transfer-and-trade-bitcoin-and-crypto,"Tue, 29 Aug 2023 19:06:58 GMT","This license also includes related service providers, such as wallets, payment processors, and exchanges.",Nik Hoffman,bitcoinmagazine
177,Grayscale Wins Its Lawsuit Against The SEC Over Converting Its Fund To A Spot Bitcoin ETF,https://bitcoinmagazine.com/markets/grayscale-wins-its-lawsuit-against-the-sec-over-converting-its-fund-to-a-spot-bitcoin-etf,"Tue, 29 Aug 2023 15:11:37 GMT",This victory however does not mean GBTC is automatically being converted to a spot Bitcoin ETF.,Nik Hoffman,bitcoinmagazine
219,Recognizing Recent Efforts By Volunteer Contributors on the Translation Team,https://bitcoin.org/en/posts/recognizing-recent-efforts-of-volunteer-translators.html,"Thu, 26 Sep 2019 00:00:00 +0000","Through continued donations and support from the community, we’re thankful to
have recently been able to send out over $15,000 USD worth of bitcoin as a
gesture of gratitude to people who volunteer to help translate bitcoin.org and
spread the word about Bitcoin. Each month, contributors are helping localize
bitcoin.org so that more people around the world can easily get started and
learn more about Bitcoin in their own languages.
Thank you
22296107f24ef76cb1766bc35fd2b3d6
Aliak
Balaxi
Btc4Arab
ChenPoWei
CoinColors
Deadlyweapon
GDP
GIANNAT
Henray0607
JurgenH
Komodorpudel
Rasakila
Sreysros
Trofo
UBS
Vinifire
YummyPT
alanst
amore111
andrew1992
annetypt
bitcoinstein
cocoklogi
cyrilblondel
dalovar
dende93
echo4py
elybon
fariascl
gwb3
hakka
hantolegionosug_gtc_YmM1MT
hoangton
iluvbitcoins
jodaki84
josefelip
klicman
lomik
mareo
mateusnds
meatfreak
miswo
nedved
nejlika
ordtrogen
pansvetadielu456
phung237337
pryds
quellobiondo
raindogdance
rudygodoy
shimhyemin
sitthykun
telstar
thisistolis
tramyargabam
triplay
tsb
vit05
xendez
zshilor
æ‘é•·
How to get involved
Anyone who is fluent in a language that isn’t English can help translate the
site. You can get started by following a few basic steps:
Create a free Transifex account.
Browse to the bitcoin.org translation
project, find the language
you’re fluent in, and join the translation team associated with it.
Once you’re on the team you can start translating. Go to the
“Dashboard” on the top of the page, then to “Languages” and select your
language. You will see a lot of different resources and their progress. Each
resource consists of a number of strings. A string is a “string” of text on
bitcoin.org. The first resource (“bitcoin.org”) contains all strings for the
main site. You can start there.
Join the Telegram group, feel free to
introduce yourself and let people know if you have questions. :)
Special acknowledgments
In addition to the many volunteers, many of the advances and recent progress in
the translation project wouldn’t be possible without the help of Simon
Hinterreiter and Koichi Hendrawan, who help manage and organize the translation
project, as well as the teams.
A special thanks is also owed to Transifex, for providing us with special access
to their platform.
About bitcoin.org
Bitcoin.org was originally registered and owned by Satoshi Nakamoto and Martti
Malmi. When Satoshi left the project, he gave ownership of the domain to
additional people, separate from the Bitcoin developers, to spread
responsibility and prevent any one person or group from easily gaining control
over the Bitcoin project. Since then, the site has been developed and
maintained by different members of the Bitcoin community.
Despite being a privately owned site, its code is open-source and there have
been thousands of commits from hundreds of contributors from all over the
world. In addition to this, over a thousand translators have helped to make the
site display natively to visitors in their own languages — now 25 different
languages and growing.
Bitcoin.org receives millions of visitors a year from people all over the world
who want to get started with and learn more about Bitcoin.",,bitcoin
179,Chainalysis Investigations Lead Is ‘Unaware’ of Scientific Evidence the Surveillance Software Works,https://bitcoinmagazine.com/technical/chainalysis-investigations-lead-is-unaware-of-scientific-evidence,"Mon, 28 Aug 2023 15:00:00 GMT",Renowned lawyer Tor Ekeland is poking holes in the U.S. government's case against alleged Bitcoin Fog creator Roman Sterlingov by poking holes in Chainalysis' forensics.,L0la L33tz,bitcoinmagazine
180,The Newest Bitcoin Magazine Is Now On Sale,https://bitcoinmagazine.com/culture/q2-2023-print-bitcoin-magazine-now-on-sale,"Mon, 28 Aug 2023 13:57:50 GMT",Buy the new print edition Bitcoin Magazine before supplies run out.,Bitcoin Magazine,bitcoinmagazine
181,How My Life In The Former Yugoslavia Led Me To Bitcoin ,https://bitcoinmagazine.com/culture/how-my-life-in-the-former-yugoslavia-led-me-to-bitcoin,"Mon, 28 Aug 2023 12:00:00 GMT","Life in the Socialist Federal Republic of Yugoslavia, which saw war, sanctions and hyperinflation, demonstrated the need for sovereign money.",Enza Coin,bitcoinmagazine
182,Rich Men North Of Richmond: A Bitcoin Anthem?,https://bitcoinmagazine.com/culture/rich-men-north-of-richmond-a-bitcoin-anthem,"Sat, 26 Aug 2023 13:00:00 GMT","Oliver Anthony’s viral hit “Rich Men North of Richmond” has resonated with Bitcoiners, but is it really a “Bitcoin” song?",Spencer Nichols,bitcoinmagazine
183,The Milk Sad Vulnerability and What It Means for Bitcoin,https://bitcoinmagazine.com/technical/the-milk-sad-vulnerability-and-what-it-means-for-bitcoin,"Fri, 25 Aug 2023 16:27:01 GMT","In Episode 83 of ""Bitcoin, Explained"" hosts Aaron and Sjors discuss the issue of an insecure Bitcoin library command called ""BX Seed"" in the Libitcoin library.",Bitcoin Magazine,bitcoinmagazine
184,US Treasury And IRS Propose Regulations On Bitcoin & Crypto Transactions By Brokers,https://bitcoinmagazine.com/markets/us-treasury-and-irs-propose-regulations-on-bitcoin-crypto-transactions-by-brokers,"Fri, 25 Aug 2023 14:13:11 GMT",The proposed rules require brokers of digital assets to adhere to stringent tax reporting standards.,Nik Hoffman,bitcoinmagazine
185,Why The Creator Economy Needs To Run On Bitcoin  ,https://bitcoinmagazine.com/culture/why-the-creator-economy-needs-to-run-on-bitcoin,"Fri, 25 Aug 2023 12:00:00 GMT","Gatekeepers broke monetization online for content creators. Luckily, Bitcoin offers a solution that benefits creators and their audiences alike.", Joël Kai Lenz,bitcoinmagazine
